mode_id,lens_name,alpha,tau,seed,trial,mismatch_tv,idem_tv,macro_drift_tv,delta_tv,K,m,N,lam,gamma
FM1_macro_preserved_micro_funnel,std,,1,1,47,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,48,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,49,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,0,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,1,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,2,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,3,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,4,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,5,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,6,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,7,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,8,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,9,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,10,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,11,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,12,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,13,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,14,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,15,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,16,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,17,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,18,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,19,0.8999999999999998,,,,6,10,60,0.2,0.7
