seed,Nbin,s,t,delta_route,delta_closure_idem,delta_iter,mean0,var0
90,401,0.2,0.74,0.35757974018881605,8.087562737568721e-14,0.11087522002294975,0.2999908284924529,0.04999500172533036
90,401,0.2,0.76,0.3610549397357363,4.677229740665534e-13,0.11798146430895248,0.2999908284924529,0.04999500172533036
90,401,0.2,0.78,0.3647631658487952,1.4608051096889896e-12,0.12498881858544729,0.2999908284924529,0.04999500172533036
90,401,0.2,0.8,0.38849760682555545,3.4022103168572515e-12,0.13181142000201296,0.2999908284924529,0.04999500172533036
90,401,0.2,0.8200000000000001,0.3834130888367195,6.306094698076831e-12,0.13850430837740413,0.2999908284924529,0.04999500172533036
90,401,0.2,0.84,0.40821033576413895,8.862684891530748e-12,0.1450116107411094,0.2999908284924529,0.04999500172533036
90,401,0.2,0.86,0.4116876700364518,7.289750942642004e-12,0.1513602361518991,0.2999908284924529,0.04999500172533036
90,401,0.2,0.88,0.41038688652752414,6.830805452523458e-13,0.15750910041334087,0.2999908284924529,0.04999500172533036
90,401,0.2,0.9,0.4350019427412779,2.0404486097708868e-11,0.16349708696385273,0.2999908284924529,0.04999500172533036
90,401,0.2,0.92,0.44692935931737554,3.111118133947155e-16,0.16924793521321055,0.2999908284924529,0.04999500172533036
90,401,0.2,0.9400000000000001,0.45481119366748407,1.9938477952008427e-16,0.1748525141701753,0.2999908284924529,0.04999500172533036
90,401,0.2,0.96,0.4580091470744133,4.399150314859934e-16,0.18023944112951717,0.2999908284924529,0.04999500172533036
90,401,0.2,0.98,0.46218482067715294,6.201636426617085e-16,0.18542008799632081,0.2999908284924529,0.04999500172533036
90,401,0.2,1.0,0.47031975940386195,6.783636152807304e-15,0.1904382385375645,0.2999908284924529,0.04999500172533036
90,401,0.5,0.0,5.213928247482791e-16,1.7909252639919382e-13,1.7909252639919382e-13,0.24581127356309124,0.24256473320080515
90,401,0.5,0.02,0.048270435348760785,9.030113896218994e-13,0.013029865622054384,0.24581127356309124,0.24256473320080515
90,401,0.5,0.04,0.09318159201645487,3.934844529200621e-12,0.02562091753912096,0.24581127356309124,0.24256473320080515
90,401,0.5,0.06,0.13449565382526435,1.468404618818614e-11,0.03760919881869115,0.24581127356309124,0.24256473320080515
90,401,0.5,0.08,0.17312350149808936,4.691189938680479e-11,0.0489094424075559,0.24581127356309124,0.24256473320080515
90,401,0.5,0.1,0.20901708962856574,1.9824636723897449e-16,0.059446796746736065,0.24581127356309124,0.24256473320080515
90,401,0.5,0.12,0.24302539693410719,0.0,0.06918241486998128,0.24581127356309124,0.24256473320080515
90,401,0.5,0.14,0.27421941722785576,1.3042952135000618e-16,0.0780805586728536,0.24581127356309124,0.24256473320080515
90,401,0.5,0.16,0.30251440371013266,0.0,0.08617072177583657,0.24581127356309124,0.24256473320080515
90,401,0.5,0.18,0.33007613319121937,1.0657707355532509e-16,0.09348029509315421,0.24581127356309124,0.24256473320080515
90,401,0.5,0.2,0.3541093039629473,3.0504028122879667e-16,0.10004392440522467,0.24581127356309124,0.24256473320080515
90,401,0.5,0.22,0.37708182350731934,2.5435382966509934e-16,0.10591670143081103,0.24581127356309124,0.24256473320080515
90,401,0.5,0.24,0.3986920566555597,5.686640394686471e-17,0.11116441944427508,0.24581127356309124,0.24256473320080515
90,401,0.5,0.26,0.4183965140386128,3.49817830952448e-16,0.11584080140531128,0.24581127356309124,0.24256473320080515
90,401,0.5,0.28,0.4369397644997204,1.97758476261356e-16,0.12001831002548016,0.24581127356309124,0.24256473320080515
90,401,0.5,0.3,0.45361467727915183,2.554922419462091e-16,0.12374455092364578,0.24581127356309124,0.24256473320080515
90,401,0.5,0.32,0.4687958047841584,1.4273521600771666e-16,0.12707974826921822,0.24581127356309124,0.24256473320080515
90,401,0.5,0.34,0.48359167154131166,1.1785277614917433e-16,0.1300770745530611,0.24581127356309124,0.24256473320080515
90,401,0.5,0.36,0.49774775923419157,2.0003530082357557e-16,0.13278520269644636,0.24581127356309124,0.24256473320080515
90,401,0.5,0.38,0.5095217516232604,1.4457835970094202e-16,0.13522562033890936,0.24581127356309124,0.24256473320080515
90,401,0.5,0.4,0.5223542294742068,1.2397851842371743e-16,0.13746037286365287,0.24581127356309124,0.24256473320080515
90,401,0.5,0.42,0.5320148727197078,1.2240642527361345e-16,0.13948630903607181,0.24581127356309124,0.24256473320080515
90,401,0.5,0.44,0.5431917602648749,1.4772254600114998e-16,0.1413727260307659,0.24581127356309124,0.24256473320080515
90,401,0.5,0.46,0.552032850007186,0.0,0.14310231437979248,0.24581127356309124,0.24256473320080515
