seed,N,nu,dt,tmax,sigma,t,mismatch_l2
60,128,0.1,0.002,1.0,0.19634954084936207,0.74,0.014776807335411313
60,128,0.1,0.002,1.0,0.19634954084936207,0.76,0.014938989777386807
60,128,0.1,0.002,1.0,0.19634954084936207,0.78,0.015087257510835344
60,128,0.1,0.002,1.0,0.19634954084936207,0.8,0.015221050645687188
60,128,0.1,0.002,1.0,0.19634954084936207,0.8200000000000001,0.015339776110992137
60,128,0.1,0.002,1.0,0.19634954084936207,0.84,0.015442810226437367
60,128,0.1,0.002,1.0,0.19634954084936207,0.86,0.015529503295506075
60,128,0.1,0.002,1.0,0.19634954084936207,0.88,0.01559918666101031
60,128,0.1,0.002,1.0,0.19634954084936207,0.9,0.015651182692804043
60,128,0.1,0.002,1.0,0.19634954084936207,0.92,0.015684818204197953
60,128,0.1,0.002,1.0,0.19634954084936207,0.9400000000000001,0.015699441817638594
60,128,0.1,0.002,1.0,0.19634954084936207,0.96,0.01569444582136372
60,128,0.1,0.002,1.0,0.19634954084936207,0.98,0.015669293076676874
60,128,0.1,0.002,1.0,0.19634954084936207,1.0,0.015623549549274588
60,128,0.1,0.002,1.0,0.39269908169872414,0.0,0.0
60,128,0.1,0.002,1.0,0.39269908169872414,0.02,0.0023382969127825537
60,128,0.1,0.002,1.0,0.39269908169872414,0.04,0.004492872303530615
60,128,0.1,0.002,1.0,0.39269908169872414,0.06,0.006483595673096091
60,128,0.1,0.002,1.0,0.39269908169872414,0.08,0.008327879884440113
60,128,0.1,0.002,1.0,0.39269908169872414,0.1,0.01004100048914589
60,128,0.1,0.002,1.0,0.39269908169872414,0.12,0.01163636727714946
60,128,0.1,0.002,1.0,0.39269908169872414,0.14,0.013125756359884336
60,128,0.1,0.002,1.0,0.39269908169872414,0.16,0.014519509401467706
60,128,0.1,0.002,1.0,0.39269908169872414,0.18,0.015826705324433307
60,128,0.1,0.002,1.0,0.39269908169872414,0.2,0.01705530882054752
60,128,0.1,0.002,1.0,0.39269908169872414,0.22,0.018212299216216525
60,128,0.1,0.002,1.0,0.39269908169872414,0.24,0.019303782622682283
60,128,0.1,0.002,1.0,0.39269908169872414,0.26,0.020335089806005503
60,128,0.1,0.002,1.0,0.39269908169872414,0.28,0.021310861813427374
60,128,0.1,0.002,1.0,0.39269908169872414,0.3,0.02223512507080411
60,128,0.1,0.002,1.0,0.39269908169872414,0.32,0.023111357405010226
60,128,0.1,0.002,1.0,0.39269908169872414,0.34,0.023942546233586055
60,128,0.1,0.002,1.0,0.39269908169872414,0.36,0.024731239992054375
60,128,0.1,0.002,1.0,0.39269908169872414,0.38,0.025479593729770867
60,128,0.1,0.002,1.0,0.39269908169872414,0.4,0.02618940969181501
60,128,0.1,0.002,1.0,0.39269908169872414,0.42,0.02686217361235577
60,128,0.1,0.002,1.0,0.39269908169872414,0.44,0.027499087370050728
60,128,0.1,0.002,1.0,0.39269908169872414,0.46,0.028101098595025208
60,128,0.1,0.002,1.0,0.39269908169872414,0.48,0.028668927767038086
60,128,0.1,0.002,1.0,0.39269908169872414,0.5,0.029203093303270606
60,128,0.1,0.002,1.0,0.39269908169872414,0.52,0.02970393509987566
60,128,0.1,0.002,1.0,0.39269908169872414,0.54,0.030171636962417692
60,128,0.1,0.002,1.0,0.39269908169872414,0.56,0.030606248335335647
60,128,0.1,0.002,1.0,0.39269908169872414,0.58,0.03100770571854529
60,128,0.1,0.002,1.0,0.39269908169872414,0.6,0.031375854139412414
60,128,0.1,0.002,1.0,0.39269908169872414,0.62,0.031710469029937544
60,128,0.1,0.002,1.0,0.39269908169872414,0.64,0.032011278841545705
60,128,0.1,0.002,1.0,0.39269908169872414,0.66,0.03227798871294626
60,128,0.1,0.002,1.0,0.39269908169872414,0.68,0.03251030548967773
60,128,0.1,0.002,1.0,0.39269908169872414,0.7000000000000001,0.032707964376716726
60,128,0.1,0.002,1.0,0.39269908169872414,0.72,0.03287075748727355
60,128,0.1,0.002,1.0,0.39269908169872414,0.74,0.032998564530690604
60,128,0.1,0.002,1.0,0.39269908169872414,0.76,0.03309138585882286
60,128,0.1,0.002,1.0,0.39269908169872414,0.78,0.03314937806131467
60,128,0.1,0.002,1.0,0.39269908169872414,0.8,0.03317289226272885
60,128,0.1,0.002,1.0,0.39269908169872414,0.8200000000000001,0.033162515224102754
60,128,0.1,0.002,1.0,0.39269908169872414,0.84,0.03311911328198691
60,128,0.1,0.002,1.0,0.39269908169872414,0.86,0.033043879060872555
60,128,0.1,0.002,1.0,0.39269908169872414,0.88,0.03293838075883922
60,128,0.1,0.002,1.0,0.39269908169872414,0.9,0.032804613616719804
60,128,0.1,0.002,1.0,0.39269908169872414,0.92,0.032645052920156424
60,128,0.1,0.002,1.0,0.39269908169872414,0.9400000000000001,0.0324627075306356
60,128,0.1,0.002,1.0,0.39269908169872414,0.96,0.0322611724734202
60,128,0.1,0.002,1.0,0.39269908169872414,0.98,0.032044678506383324
60,128,0.1,0.002,1.0,0.39269908169872414,1.0,0.03181813584088517
