case_id,seed,trial,Nx,Nv,omega,tau,delta,delta_correct,delta_wrong,delta_missing,delta_extended,u_err,e_err_missing,e_err_extended
FM1_low_omega_strong_gradient,50,45,16,3,0.0,5,0.48741186043979656,,,,,,,
FM1_low_omega_strong_gradient,50,45,16,3,0.0,10,0.616707708547205,,,,,,,
FM1_low_omega_strong_gradient,50,46,16,3,0.0,2,0.3085090653817877,,,,,,,
FM1_low_omega_strong_gradient,50,46,16,3,0.0,5,0.48445433632811374,,,,,,,
FM1_low_omega_strong_gradient,50,46,16,3,0.0,10,0.608584445699865,,,,,,,
FM1_low_omega_strong_gradient,50,47,16,3,0.0,2,0.3132984815356646,,,,,,,
FM1_low_omega_strong_gradient,50,47,16,3,0.0,5,0.479216694435909,,,,,,,
FM1_low_omega_strong_gradient,50,47,16,3,0.0,10,0.6131503507601375,,,,,,,
FM1_low_omega_strong_gradient,50,48,16,3,0.0,2,0.3231629344063482,,,,,,,
FM1_low_omega_strong_gradient,50,48,16,3,0.0,5,0.4886625882938743,,,,,,,
FM1_low_omega_strong_gradient,50,48,16,3,0.0,10,0.618265408455718,,,,,,,
FM1_low_omega_strong_gradient,50,49,16,3,0.0,2,0.32688560904304076,,,,,,,
FM1_low_omega_strong_gradient,50,49,16,3,0.0,5,0.4897318247921612,,,,,,,
FM1_low_omega_strong_gradient,50,49,16,3,0.0,10,0.6117484943691617,,,,,,,
FM1_low_omega_strong_gradient,50,50,16,3,0.0,2,0.3091945003250538,,,,,,,
FM1_low_omega_strong_gradient,50,50,16,3,0.0,5,0.49316903653692373,,,,,,,
FM1_low_omega_strong_gradient,50,50,16,3,0.0,10,0.6142160578383957,,,,,,,
FM1_low_omega_strong_gradient,50,51,16,3,0.0,2,0.3147594377045879,,,,,,,
FM1_low_omega_strong_gradient,50,51,16,3,0.0,5,0.4892925763771795,,,,,,,
FM1_low_omega_strong_gradient,50,51,16,3,0.0,10,0.611823532467887,,,,,,,
