seed,M,mu0,s,t,mean_micro,y_mean,mismatch,abs_mismatch
80,20000,0.3,0.5,0.7000000000000001,0.5642106197947582,0.3104756147164526,0.2537350050783056,0.2537350050783056
80,20000,0.3,0.5,0.71,0.573036528498942,0.3114425679437647,0.26159396055517736,0.26159396055517736
80,20000,0.3,0.5,0.72,0.5821414074353403,0.31241556299581486,0.2697258444395254,0.2697258444395254
80,20000,0.3,0.5,0.73,0.5915401301937703,0.31339465667687066,0.2781454735168996,0.2781454735168996
80,20000,0.3,0.5,0.74,0.6012486734683403,0.3143799065055247,0.2868687669628156,0.2868687669628156
80,20000,0.3,0.5,0.75,0.6112842233733913,0.3153713707259582,0.29591285264743306,0.29591285264743306
80,20000,0.3,0.5,0.76,0.621665294431163,0.3163691083194186,0.3052961861117444,0.3052961861117444
80,20000,0.3,0.5,0.77,0.6324118630421072,0.3173731790159163,0.3150386840261909,0.3150386840261909
80,20000,0.3,0.5,0.78,0.6435455175521875,0.3183836433061437,0.32516187424604376,0.32516187424604376
80,20000,0.3,0.5,0.79,0.6550896273935457,0.31940056245362386,0.33568906493992184,0.33568906493992184
80,20000,0.3,0.5,0.8,0.6670695342084674,0.3204239985070919,0.34664553570137546,0.34664553570137546
80,20000,0.3,0.5,0.81,0.6795127683877356,0.32145401431311554,0.35805875407462,0.35805875407462
80,20000,0.3,0.5,0.8200000000000001,0.6924492950834007,0.32249067352895977,0.3699586215544409,0.3699586215544409
80,20000,0.3,0.5,0.8300000000000001,0.7059117945181069,0.32353404063570135,0.3823777538824056,0.3823777538824056
80,20000,0.3,0.5,0.84,0.7199359823405961,0.3245841809515983,0.3953518013889978,0.3953518013889978
80,20000,0.3,0.5,0.85,0.7345609769107999,0.3256411606457215,0.4089198162650784,0.4089198162650784
80,20000,0.3,0.5,0.86,0.7498297217904225,0.32670504675185236,0.42312467503857015,0.42312467503857015
80,20000,0.3,0.5,0.87,0.7657894734336084,0.32777590718265476,0.4380135662509536,0.4380135662509536
80,20000,0.3,0.5,0.88,0.7824923662045161,0.32885381074412606,0.45363855546039006,0.45363855546039006
80,20000,0.3,0.5,0.89,0.7999960695082594,0.3299388271503344,0.470057242357925,0.470057242357925
80,20000,0.3,0.5,0.9,0.8183645551581288,0.3310310270384488,0.48733352811968,0.48733352811968
80,20000,0.3,0.5,0.91,0.8376689973126382,0.3321304819840684,0.5055385153285699,0.5055385153285699
80,20000,0.3,0.5,0.92,0.8579888326634744,0.33323726451685876,0.5247515681466156,0.5247515681466156
80,20000,0.3,0.5,0.93,0.8794130153922404,0.33435144813650136,0.5450615672557391,0.5450615672557391
80,20000,0.3,0.5,0.9400000000000001,0.9020415102166267,0.3354731073289643,0.5665684028876624,0.5665684028876624
80,20000,0.3,0.5,0.9500000000000001,0.925987078265464,0.3366023175831016,0.5893847606823623,0.5893847606823623
80,20000,0.3,0.5,0.96,0.951377425452339,0.3377391554075891,0.61363827004475,0.61363827004475
80,20000,0.3,0.5,0.97,0.9783578027037897,0.33888369834820437,0.6394741043555854,0.6394741043555854
80,20000,0.3,0.5,0.98,1.0070941735893422,0.3400360250054591,0.6670581485838831,0.6670581485838831
80,20000,0.3,0.5,0.99,1.0377771000810263,0.341196215052593,0.6965808850284333,0.6965808850284333
80,20000,0.3,0.5,1.0,1.0706265449103278,0.3423643492539369,0.7282621956563909,0.7282621956563909
